faval,fakdm,fakdul,fa01b,fakduk,facu33,fabelu,fakunr,fadato,fadaff,faavdr,faopko,fajour,faggrp,faaccn,faexra,fafrbn,falevn,famade,faagrn,fataxa,facuri,facd12,facd13,facd21,facd22,facd23,facd31,faavd,faopd,fali,favk,fabeln,fakda,fask,fafakt,famnd,facd32,favt,facc,faamou
NOK,J,,,B,,0,1000,0,0,0,,1001837,,0,0,0,0,,0,0,,,,,,,,1,52714,5,TER,100,A,K,0,0,,,0,0
NOK,J,,,,,0,176,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52714,6,HAN,655,L,S,0,0,,,0,0
NOK,J,,,,,0,176,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52714,7,PAK,180,L,S,0,0,,,0,0
NOK,N,,,,,0,24,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52715,1,FRA,-63905,K,S,786,9,,SINGAPORE AIRLI S:02,20,0
NOK,N,,,,,0,70,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52715,2,FRA,-63905,K,K,786,9,,SINGAPORE AIRLI S:02,20,0
NOK,J,,,,NOK,0,8,20000310,20000324,0,D,114,,0,0,0,0,,0,0,NOK,,L,,,,,1,52722,1,LO1,975,D,K,283239,10,,*D* YBC 165458100300,19,0
NOK,J,,,,,0,8,20000310,20000324,0,D,114,,0,0,0,0,,0,0,NOK,,L,,,,,1,52722,2,HAN,276,D,K,283239,10,,*D* YBC 165458100300,19,0
NOK,J,,,,,0,8,20000310,20000324,0,D,114,,0,0,0,0,,0,0,NOK,,L,,,,,1,52722,3,HA2,650,D,K,283239,10,,*D* YBC 165458100300,19,0
NOK,J,,,,,0,8,20000310,20000324,1,O,114,AI,30100,0,0,0,,0,0,NOK,,L,,,,,1,52722,4,HA2,650,C,K,283240,10,,,19,0
NOK,J,,,,,0,8,20000310,20000324,1,O,115,AI,30100,0,0,0,,0,0,NOK,,L,,,,,1,52722,21,HA2,-650,C,K,283241,2,,,20,0
NOK,J,,,,NOK,0,27,20021015,20021029,1,O,154,BI,30100,0,0,0,,0,0,,,,,,,,1,52723,1,TAR,30,S,K,283376,10,,,20,0
DEM,J,,,,,0,2,0,0,0,,0,,0,0,0,0,,0,0,DEM,,,,,,,1,52732,1,ADV,225,B,K,0,0,,,0,0
DEM,N,J,,,,0,2,0,0,0,,0,,0,0,0,0,,0,0,DEM,,,,,,,1,52732,2,FOM,0,B,K,0,0,,,0,0
DEM,N,J,,,,0,2,0,0,0,,0,,0,0,0,0,,0,0,DEM,,,,,,,1,52732,3,FRA,50000,B,K,0,0,,,0,0
DEM,N,,,B,,0,2,0,0,0,,1001834,,0,0,0,0,,0,0,DEM,,,,,,,1,52732,4,TER,155,B,K,0,0,,,0,0
USD,N,,,,,0,25,0,0,0,,0,,0,0,0,0,,0,0,USD,,,,,,,1,52734,1,ABC,0,A,S,0,0,,,0,0
